"ID","OccluderID","Sequence","LocationID"
189913,21894,4,189921
189914,21895,1,189922
189915,21895,2,189923
189916,21895,3,189924
189917,21895,4,189925
189918,21896,1,189926
189919,21896,2,189927
189920,21896,3,189928
189921,21896,4,189929
189922,21896,5,189930
189923,21896,6,189931
189924,21896,7,189932
189925,21897,1,189933
189926,21897,2,189934
189927,21897,3,189935
189928,21897,4,189936
189929,21897,5,189937
189930,21898,1,189938
189931,21898,2,189939
189932,21898,3,189940
189933,21898,4,189941
189934,21898,5,189942
189935,21899,1,189943
189936,21899,2,189944
189937,21899,3,189945
189938,21899,4,189946
189939,21899,5,189947
189940,21900,1,189948
189941,21900,2,189949
189942,21900,3,189950
189943,21900,4,189951
189944,21901,1,189952
189945,21901,2,189953
189946,21901,3,189954
189947,21901,4,189955
189948,21901,5,189956
189949,21901,6,189957
189950,21901,7,189958
189951,21901,8,189959
189952,21902,1,189960
189953,21902,2,189961
189954,21902,3,189962
189955,21902,4,189963
189956,21903,1,189964
189957,21903,2,189965
189958,21903,3,189966
189959,21903,4,189967
189960,21904,1,189968
189961,21904,2,189969
189962,21904,3,189970
189963,21904,4,189971
189964,21904,5,189972
189965,21905,1,189973
189966,21905,2,189974
189967,21905,3,189975
189968,21905,4,189976
189969,21905,5,189977
189970,21906,1,189978
189971,21906,2,189979
189972,21906,3,189980
189973,21906,4,189981
189974,21907,1,189982
189975,21907,2,189983
189976,21907,3,189984
189977,21907,4,189985
189978,21908,1,189986
189979,21908,2,189987
189980,21908,3,189988
189981,21908,4,189989
189982,21908,5,189990
189983,21909,1,189991
189984,21909,2,189992
189985,21909,3,189993
189986,21909,4,189994
189987,21910,1,189995
189988,21910,2,189996
189989,21910,3,189997
189990,21910,4,189998
189991,21911,1,189999
189992,21911,2,190000
189993,21911,3,190001
189994,21911,4,190002
189995,21912,1,190003
189996,21912,2,190004
189997,21912,3,190005
189998,21912,4,190006
189999,21912,5,190007
190000,21913,1,190008
190001,21913,2,190009
190002,21913,3,190010
190003,21913,4,190011
190004,21914,1,190012
190005,21914,2,190013
190006,21914,3,190014
190007,21914,4,190015
190008,21915,1,190016
190009,21915,2,190017
190010,21915,3,190018
190011,21915,4,190019
190012,21916,1,190020
190013,21916,2,190021
190014,21916,3,190022
190015,21916,4,190023
190016,21917,1,190024
190017,21917,2,190025
190018,21917,3,190026
190019,21917,4,190027
190020,21918,1,190028
190021,21918,2,190029
190022,21918,3,190030
190023,21918,4,190031
190024,21919,1,190032
190025,21919,2,190033
190026,21919,3,190034
190027,21919,4,190035
190028,21920,1,190036
190029,21920,2,190037
190030,21920,3,190038
190031,21920,4,190039
190032,21921,1,190040
190033,21921,2,190041
190034,21921,3,190042
190035,21921,4,190043
190036,21922,1,190044
190037,21922,2,190045
190038,21922,3,190046
190039,21922,4,190047
190567,22053,1,190575
190568,22053,2,190576
190569,22053,3,190577
190570,22053,4,190578
190571,22054,1,190579
190572,22054,2,190580
190573,22054,3,190581
190574,22054,4,190582
190575,22055,1,190583
190576,22055,2,190584
190577,22055,3,190585
190578,22055,4,190586
190579,22056,1,190587
190580,22056,2,190588
190581,22056,3,190589
190582,22056,4,190590
190583,22057,1,190591
190584,22057,2,190592
190585,22057,3,190593
190586,22057,4,190594
190587,22058,1,190595
190588,22058,2,190596
190589,22058,3,190597
190590,22058,4,190598
190591,22059,1,190599
190592,22059,2,190600
190593,22059,3,190601
190594,22059,4,190602
190595,22060,1,190603
190596,22060,2,190604
190597,22060,3,190605
190598,22060,4,190606
190599,22061,1,190607
190600,22061,2,190608
190601,22061,3,190609
190602,22061,4,190610
190603,22062,1,190611
190604,22062,2,190612
190605,22062,3,190613
190606,22062,4,190614
190607,22063,1,190615
190608,22063,2,190616
190609,22063,3,190617
190610,22063,4,190618
190611,22064,1,190619
190612,22064,2,190620
190613,22064,3,190621
190614,22064,4,190622
190615,22065,1,190623
190616,22065,2,190624
190617,22065,3,190625
190618,22065,4,190626
190619,22066,1,190627
190620,22066,2,190628
190621,22066,3,190629
190622,22066,4,190630
190623,22067,1,190631
190624,22067,2,190632
190625,22067,3,190633
190626,22067,4,190634
190627,22068,1,190635
190628,22068,2,190636
190629,22068,3,190637
190630,22068,4,190638
190631,22069,1,190639
190632,22069,2,190640
190633,22069,3,190641
190634,22069,4,190642
190635,22070,1,190643
190636,22070,2,190644
190637,22070,3,190645
190638,22070,4,190646
190639,22071,1,190647
190640,22071,2,190648
190641,22071,3,190649
190642,22071,4,190650
190643,22072,1,190651
190644,22072,2,190652
190645,22072,3,190653
190646,22072,4,190654
190647,22073,1,190655
190648,22073,2,190656
190649,22073,3,190657
190650,22073,4,190658
190651,22074,1,190659
190652,22074,2,190660
190653,22074,3,190661
190654,22074,4,190662
190655,22075,1,190663
190656,22075,2,190664
190657,22075,3,190665
190658,22075,4,190666
190659,22076,1,190667
190660,22076,2,190668
190661,22076,3,190669
190662,22076,4,190670
190663,22077,1,190671
190664,22077,2,190672
190665,22077,3,190673
190666,22077,4,190674
190667,22078,1,190675
190668,22078,2,190676
190669,22078,3,190677
190670,22078,4,190678
190671,22079,1,190679
190672,22079,2,190680
190673,22079,3,190681
190674,22079,4,190682
190675,22080,1,190683
190676,22080,2,190684
190677,22080,3,190685
190678,22080,4,190686
190679,22081,1,190687
190680,22081,2,190688
190681,22081,3,190689
190682,22081,4,190690
190683,22082,1,190691
190684,22082,2,190692
190685,22082,3,190693
190686,22082,4,190694
190687,22083,1,190695
190688,22083,2,190696
190689,22083,3,190697
190690,22083,4,190698
190691,22084,1,190699
190692,22084,2,190700
190693,22084,3,190701
190694,22084,4,190702
190695,22085,1,190703
190696,22085,2,190704
190697,22085,3,190705
190698,22085,4,190706
190699,22086,1,190707
190700,22086,2,190708
190701,22086,3,190709
190702,22086,4,190710
190703,22087,1,190711
190704,22087,2,190712
190705,22087,3,190713
190706,22087,4,190714
190707,22088,1,190715
190708,22088,2,190716
190709,22088,3,190717
190710,22088,4,190718
